venue_name,mic,equity_pfof_usd,options_pfof_usd,total_pfof_received_usd,market_share_pct,broker_count,exclusive_broker_count
The Nasdaq Stock Market,,1387.62,0.0,1387.62,0.0,10,0
ISE,,0.0,1337.43,1337.43,0.0,1,0
MIAX Emerald,,0.0,1303.85,1303.85,0.0,1,0
MCRY,,0.0,1220.76,1220.76,0.0,2,0
LKSK,,0.0,1094.35,1094.35,0.0,1,0
OPCO,,0.0,716.0,716.0,0.0,1,0
"Bofa Securities, Inc.",BCEX,0.0,452.61,452.61,0.0,2,0
"Nasdaq GEMX, LLC",,0.0,276.14,276.14,0.0,2,0
"Cboe BYX Exchange, Inc.",,182.64,0.0,182.64,0.0,4,0
Coda Markets Inc.,,179.75,0.0,179.75,0.0,1,0
PTRPX,,0.0,158.8,158.8,0.0,1,0
"Instinet, LLC",INCA,5.0,149.0,154.0,0.0,2,1
Nasdaq OMX,,127.34,0.0,127.34,0.0,2,0
PDQM,PDQM,86.56,0.0,86.56,0.0,1,0
TJMW,,0.0,86.14,86.14,0.0,1,0
NASDAQ,,75.6,-1.6,74.0,0.0,1,0
"TRADEZERO AMERICA, INC",ZERO,0.0,65.21,65.21,0.0,4,0
IAEC,,0.0,37.5,37.5,0.0,1,0
Canaccord Capital Corporation,,16.77,0.0,16.77,0.0,2,0
MATRIX,,0.0,8.91,8.91,0.0,1,0
MIAX Pearl Equities,,6.84,0.0,6.84,0.0,1,0
VIRTU MATCHIT ATS,,4.41,0.0,4.41,0.0,1,0
Watershed Technologies,,0.0,0.22,0.22,0.0,1,0
"VIRTU AMERICAS, LLC. (VALR)",,0.11,0.0,0.11,0.0,1,0
Instinct X,,0.01,0.0,0.01,0.0,1,0
WALL STREET ACCESS,,0.0,0.0,0.0,0.0,1,0
"Goldman, Sachs & Co.",,0.0,0.0,0.0,0.0,8,1
"Cowen and Company, LLC",,0.0,0.0,0.0,0.0,1,0
ICRS,ICRS,0.0,0.0,0.0,0.0,47,0
PERSHING FRACTIONAL SHARE,PFRA,0.0,0.0,0.0,0.0,32,0
EDGXOPT,,0.0,0.0,0.0,0.0,1,0
ISEOPT2,,0.0,0.0,0.0,0.0,1,0
CBOEOPT2,,0.0,0.0,0.0,0.0,1,0
MCRYOPT,,0.0,0.0,0.0,0.0,1,0
PHLXOPT2,,0.0,0.0,0.0,0.0,1,0
EANJ,,0.0,0.0,0.0,0.0,1,0
SRT SECURITIES LLC.,,0.0,0.0,0.0,0.0,1,0
IBKR ATS,IATS,0.0,0.0,0.0,0.0,4,0
INTERACTIVE BROKERS CORP,IBCO,0.0,0.0,0.0,0.0,4,0
XTX Execution Services LLC,XTXE,0.0,0.0,0.0,0.0,4,0
"Jane Street Capital LLC ""PRO""",JSJX,0.0,0.0,0.0,0.0,3,0
IEX,IEXD,0.0,0.0,0.0,0.0,2,0
Knight Link,KNLI,0.0,0.0,0.0,0.0,2,0
"Virtu Americas LLC ""PRO""",VIRT,0.0,0.0,0.0,0.0,4,1
N/A,,0.0,0.0,0.0,0.0,1,0
Citadel Securities (CDRG),,0.0,0.0,0.0,0.0,8,0
"Jane Street Capital, LLC (JNST)",,0.0,0.0,0.0,0.0,7,0
HRT FINANCIAL LP (HRTF),,0.0,0.0,0.0,0.0,6,0
"G1 Execution Services, LLC (ETMM)",,0.0,0.0,0.0,0.0,7,0
"Virtu Americas, LLC (NITE)",,0.0,0.0,0.0,0.0,8,0
UBS Securities LLC (UBSS),,0.0,0.0,0.0,0.0,8,0
Two Sigma Securities (SOHO),,0.0,0.0,0.0,0.0,7,0
StoneX Financial Inc (INTL),,0.0,0.0,0.0,0.0,6,0
INTELLIGENT CROSS LLC (INCR),,0.0,0.0,0.0,0.0,4,0
GTS Securities LLC (GTSM),,0.0,0.0,0.0,0.0,4,0
Citadel Securities LLC (CITL),,0.0,0.0,0.0,0.0,6,0
Wolverine Execution Svc. (WEXX),,0.0,0.0,0.0,0.0,8,0
DASH Financial Option ATS (DASH),,0.0,0.0,0.0,0.0,6,0
"Jane Street Options, LLC (JSOL)",,0.0,0.0,0.0,0.0,6,0
DASH Financial Technologies LLC (DFIN),,0.0,0.0,0.0,0.0,4,0
FDLM,,0.0,0.0,0.0,0.0,4,0
CDRE,,0.0,0.0,0.0,0.0,1,0
NITV,,0.0,0.0,0.0,0.0,1,0
DASH Financial Option ATS,,0.0,0.0,0.0,0.0,3,0
"Jane Street Execution Services, LLC",,0.0,0.0,0.0,0.0,5,0
Instinet BlockCross,BLKX,0.0,0.0,0.0,0.0,24,0
JEFFERIES,,0.0,0.0,0.0,0.0,1,0
"G1 Execution ServiCitadel Execution Services(CES), LLC(ETMM)",,0.0,0.0,0.0,0.0,1,0
"VIRTU Americas, LLC(NITE)",,0.0,0.0,0.0,0.0,1,0
Citadel Securities LLC(CDRG),,0.0,0.0,0.0,0.0,1,0
"Jane Street Capital, LLC(JNST)",,0.0,0.0,0.0,0.0,1,0
Hudson River Trading(HRTF),,0.0,0.0,0.0,0.0,1,0
Fidelity Crossstream ATS(XSTM),,0.0,0.0,0.0,0.0,1,0
"UBS Securities, LLC(UBSS)",,0.0,0.0,0.0,0.0,1,0
